State,Plant ID,Plant Name,Unit ID,January,February,March,April,May,June,July,August,September,October,November,December,Utilization Factor
AL,46,Browns Ferry,1,847233,474581,718905,809362,837364,799740,814095,678272,608452,266485,152853,833783,71.3
AL,46,Browns Ferry,2,845777,751765,822728,804194,664834,790660,805159,802880,794399,724759,811755,838629,97.8
AL,46,Browns Ferry,3,734635,387748,0,585716,784404,792052,899023,913848,811532,381332,861535,947292,73.4
AL,6001,Joseph M Farley,1,664308,596602,536352,30856,319592,627553,651185,651209,480993,544710,642020,664284,83.7
AL,6001,Joseph M Farley,2,668607,585535,653994,643902,654089,623508,654609,654165,632064,572482,644719,667708,99.6
AZ,6008,Palo Verde,1,995290,759808,992318,821590,990348,951142,839992,976824,950843,986855,961142,994727,97.7
AZ,6008,Palo Verde,2,999093,902468,996445,959690,852902,951789,978809,977195,914349,135991,-9095,789296,82.1
AZ,6008,Palo Verde,3,989648,893775,988663,181326,787003,847368,911508,969365,942363,978791,952142,985496,90.7
AR,8055,Arkansas Nuclear One,1,636576,574447,465880,-2254,101974,314529,555275,579948,606043,634744,616702,538573,77
AR,8055,Arkansas Nuclear One,2,737480,677259,748315,724577,739751,711008,734193,735889,346703,-2325,194344,751187,82.3
CA,6099,Diablo Canyon,1,847536,765249,841276,730379,839917,823407,849350,817536,817530,837838,774802,758986,98.7
CA,6099,Diablo Canyon,2,818626,217409,205651,816058,842868,813900,837080,803333,797004,829995,799108,728681,86.9
CT,566,Millstone,2,640692,576668,638882,618096,637245,617481,633280,629264,528182,0,3182,624517,82.3
CT,566,Millstone,3,921506,831492,918722,885424,913712,882785,904748,899216,869076,907772,884511,915039,100.4
FL,621,Turkey Point,3,627593,561056,622898,596662,617076,585533,604389,605647,572809,-5303,415689,653572,88.1
FL,621,Turkey Point,4,632854,565919,628472,602641,622505,593116,610181,586255,594621,621716,605025,628842,101.4
FL,6045,St Lucie,1,750977,674061,253578,434812,743812,717210,736522,740398,710548,689506,716307,746821,92.1
FL,6045,St Lucie,2,760443,682139,756838,728293,750956,726739,736065,516292,-4561,510959,729115,754751,88.5
GA,649,Vogtle,1,887498,796301,883949,854141,872480,838520,799444,863460,415414,670804,857968,887242,95.6
GA,649,Vogtle,2,890927,799266,885877,854839,873603,838592,866605,865506,835911,874687,858357,887735,102.4
GA,6051,Edwin I Hatch,1,617735,42178,571398,643047,658363,630512,653714,653758,625336,609113,642177,662254,91.3
GA,6051,Edwin I Hatch,2,671473,565780,669097,551344,407596,636596,657075,658391,632674,662144,645700,636095,95.6
IL,204,Clinton Power Station,1,800713,699423,797172,731280,208998,769275,791891,741340,679613,685950,639256,801775,89.5
IL,869,Dresden Generating Station,2,700430,630899,691939,667220,670926,634991,672152,676866,657608,684810,676694,687905,101.9
IL,869,Dresden Generating Station,3,695249,624319,682584,662114,665484,646480,665409,666339,618056,505601,380388,673672,95.5
IL,880,Quad Cities Generating Station,1,701440,631618,695850,667819,682467,653143,675791,677501,599601,694451,674620,697610,101.2
IL,880,Quad Cities Generating Station,2,649122,561744,325149,493968,678688,652771,671790,675413,659528,688994,671626,695754,93
IL,6022,Braidwood Generation Station,1,907809,820512,902601,211090,867692,817863,886215,887672,855035,901885,869953,906130,94.9
IL,6022,Braidwood Generation Station,2,882566,797133,881344,849035,870336,834585,858449,860409,829134,156846,806218,882947,94.1
IL,6023,Byron Generating Station,1,895612,808277,895583,862827,872138,845122,874151,857785,303236,887490,868770,897779,96.8
IL,6023,Byron Generating Station,2,874532,789643,872452,832149,857624,821177,853557,854693,832285,868199,849020,876922,102.3
IL,6026,LaSalle Generating Station,1,872129,485017,355841,844610,855360,820951,840568,841848,821498,865424,845469,872914,94.1
IL,6026,LaSalle Generating Station,2,872695,788882,871138,835911,853348,819852,841748,839129,733032,865220,841625,861557,100.9
IA,1060,Duane Arnold Energy Center,1,454361,410060,450580,435050,437412,421904,426623,411903,137946,409884,442856,456820,92.9
KS,210,Wolf Creek Generating Station,1,912386,822973,875324,-7752,351294,865039,885908,887951,870926,908933,884279,911028,85.4
LA,4270,Waterford 3,3,879165,795662,880814,849658,875517,842290,719900,865223,840178,875033,851115,878031,99.4
LA,6462,River Bend,1,132451,356815,521005,705899,699877,670282,719900,630772,665040,696199,489269,712487,82.6
MD,6011,Calvert Cliffs Nuclear Power Plant,1,675934,359341,309409,657501,677205,649141,662375,657173,628887,666719,660924,684758,95.4
MD,6011,Calvert Cliffs Nuclear Power Plant,2,670404,600695,662872,629974,656708,627378,641323,626109,617502,653718,644409,667472,102.9
MA,1590,Pilgrim Nuclear Power Station,1,393142,455535,82968,114483,443221,436915,491071,390998,308016,372125,448844,504245,74.7
MI,1715,Palisades,1,611065,552287,507808,589980,602254,573853,591112,585875,576132,239649,0,25925,77.4
MI,1729,Fermi,2,852277,769471,858594,352509,548214,804769,801125,829578,556224,81361,822023,135797,74.2
MI,6000,Donald C Cook,1,813222,733376,812208,786418,794938,740198,750762,750402,747038,782026,775082,813868,105.2
MI,6000,Donald C Cook,2,903676,780972,0,0,517321,855663,874722,858731,849566,888438,876182,906003,81.2
MN,1922,Monticello Nuclear Facility,1,490435,443250,489058,472836,481527,456816,469899,461713,462405,490370,410489,489226,103.9
MN,1925,Prairie Island,1,410484,371056,393014,392138,391771,378317,393130,386374,221741,36029,401592,414825,91.8
MN,1925,Prairie Island,2,415139,375364,414932,393990,395466,382059,397992,398203,390731,413139,400778,415041,105.4
MS,6072,Grand Gulf,1,502875,649325,1035677,189417,-5898,-6427,129490,867532,725282,1051752,1004849,775596,56.4
MO,6153,Callaway,1,919276,828913,904403,884652,893872,859057,887365,887687,863309,906833,893292,926620,102.2
NC,6014,Brunswick Nuclear,1,681433,567700,31367,513372,708628,636371,706914,706474,439010,709004,696058,697735,86.3
NC,6014,Brunswick Nuclear,2,665441,552559,696617,667889,690778,497437,609806,680895,467910,674267,671942,657360,92.3
NC,6015,Harris,1,593388,643338,715370,128815,459520,701420,724583,723583,701214,733607,721164,741912,89.9
NC,6038,McGuire,1,892425,758879,891381,863037,887701,851635,869498,869722,842365,879641,861515,891451,102.1
